type,name,classification,file,line,declaration_sha256
SpellData,Target_FindFamiliar_Boo,differing declarations,SPELLS.txt,4102,7548771de18d7fa7cab7c70f498e185fa5e3851b41ca7adc54af78085efeb319
SpellData,Target_FindFamiliar_Dog,differing declarations,CompanionSummonSpells.txt,1,055b7464099752e64bef925e5af5ebad38d0eb666f49b882c24655091d996731
SpellData,Target_FindFamiliar_Dog,differing declarations,SPELLS.txt,4111,23b5ee1b59df6cbe99a0072e512274df7c85709031ef735c6b28bd1786849579
SpellData,Target_HolyRebuke,differing declarations,SPELLS.txt,4715,c17762df1990655d3d36dfe8019e06a47454b648b452686bd1d7567b176f76ed
SpellData,Target_HolyRebuke,differing declarations,SPELLS.txt,4721,34fbb0781042325808531a395196e43a93b6d8e3508138b1a93be81625eae22f
SpellData,Target_HolyWeapon,differing declarations,SPELLS.txt,4729,d65f29c823e4bb80dd50cf22931a8f78f229292b204789a9da4a069287a35068
SpellData,Target_HolyWeapon,differing declarations,SPELLS.txt,4740,5d4503c76058e5ddf0d16a4ea6c95f2a7217ff2f389efad3676e418a181c19f0
SpellData,Target_LightningCharged_3,differing declarations,SPELLS.txt,4953,7deabfdb5a818cab6cee6375ed1f485bbd0a9fb1fabc0ac0fe3424fe71008a70
SpellData,Target_LightningCharged_3,differing declarations,SPELLS.txt,4960,9aef18b36bb61aae3716575116cbf76575518affd2b23fc8d1cd65a48ba5245e
SpellData,Target_LightningCharged_4,differing declarations,SPELLS.txt,4967,aa762888283fb6ee8880de7d4a56236bc647e554a1e4fdafd6ed227014b26032
SpellData,Target_LightningCharged_4,differing declarations,SPELLS.txt,4974,179d917a855e4089c85a273834e0ca572efef8802fb8f2899c748438fe434227
SpellData,Target_LightningCharged_5,differing declarations,SPELLS.txt,4981,76fc0f37ad39fe55a24ba34ff52503427319bd1e5a802b69287e6b3b16dc13a0
SpellData,Target_LightningCharged_5,differing declarations,SPELLS.txt,4988,3281e79c7ce0ddde6164465d46b07051a98e11d2371263ecacfe123ed774f12f
SpellData,Target_LightningCharged_6,differing declarations,SPELLS.txt,4995,297b0ef2047d2e9ab00bcdaa9fec2d2691855a140c56f65f913e994736435cd2
SpellData,Target_LightningCharged_6,differing declarations,SPELLS.txt,5002,e02df43a90b7d1ad70ff8427749c82405ae978af1795f51e93c78c0f21d074f0
SpellData,Target_LightningCharged_7,differing declarations,SPELLS.txt,5009,d31404ee24fa3be185f956c33c5faa9a925911ff736d8bb65fd14805d7444768
SpellData,Target_LightningCharged_7,differing declarations,SPELLS.txt,5016,bae15159c7da6da224d33ee1e49e23afc0c5f24f8fbcb7e8bd32d29852b8faa0
SpellData,Target_LightningCharged_8,differing declarations,SPELLS.txt,5023,e7b24d475a01984e916c17197e59f0ae805461f73181a600e2f13959e5bdb6a2
SpellData,Target_LightningCharged_8,differing declarations,SPELLS.txt,5030,d290e335fd403cd9e672ee45b59034bf5832772ec7eca7c317f71bf8d81e0280
SpellData,Target_MagicCircle,differing declarations,SPELLS.txt,5291,8e838917149f1af02bdf9dc72b676ab6930b48977cf51e97e2b23356383a3968
SpellData,Target_MagicCircle,differing declarations,SPELLS.txt,5301,f4a2b78910d9d9195a29d2709bfb0d89c3bdc479ce4171e4ce10d8f881ec1805
SpellData,Target_MotivationalSpeech,differing declarations,NPC_SPELLS.txt,158,072578ec4f7a96d9f92f666954deb7bde399ed35c67e8d48fd3501d4e8b2913d
SpellData,Target_MotivationalSpeech,differing declarations,NPC_SPELLS.txt,164,072578ec4f7a96d9f92f666954deb7bde399ed35c67e8d48fd3501d4e8b2913d
SpellData,Target_MotivationalSpeech,differing declarations,SPELLS.txt,5511,55a2a9f9f945d2eb88e4325b9d4963c5c273b01a9f60e26223f2b47d93f73c07
SpellData,Target_MotivationalSpeech,differing declarations,SPELLS.txt,5519,64cd488b65b0d70ae17d8bfd0b463348994b38af5cc6b382397519601ea86f8d
SpellData,Target_MotivationalSpeech,differing declarations,SPELLS.txt,5529,df6117249b96bcd0b04dbe58d936c36a09a86b4298d14161ce03042ee35ac6d5
SpellData,Target_MotivationalSpeech_4,differing declarations,NPC_SPELLS.txt,187,d11d04b8d5a9431c32f1f1a885bfd70da2364097e9544571753451ba10545e42
SpellData,Target_MotivationalSpeech_4,differing declarations,NPC_SPELLS.txt,193,eb139b245227e4ce389959f33abb21b89272fa9663cc882ee4fcfc3af14c411c
SpellData,Target_MotivationalSpeech_4,differing declarations,SPELLS.txt,5537,a3806a2bb114d00fcb93ef7bfc45fb5d64ed077e5d47ae1fae3e169702b9cc07
SpellData,Target_MotivationalSpeech_5,differing declarations,NPC_SPELLS.txt,217,897237a30a58158be56c55dc47e33789c3ddef4286b716b36be22332b6cb75c1
SpellData,Target_MotivationalSpeech_5,differing declarations,NPC_SPELLS.txt,223,4df1f41226b6c94671cd2ec57308b1eef29e9d051f4abc6ede2c04cc657b02c1
SpellData,Target_MotivationalSpeech_5,differing declarations,SPELLS.txt,5545,36438b58fe73f54624de8ba93357703e1cd1e0e2a906f696480158a498c20417
SpellData,Target_MotivationalSpeech_6,differing declarations,NPC_SPELLS.txt,247,b8696a722cbaee3317086cc0e2ef11978d364896898b18d79e253cc5e9313eec
SpellData,Target_MotivationalSpeech_6,differing declarations,NPC_SPELLS.txt,253,e21a971b31846dc7a565f40f629b3ee81cde6476dd9bea82fb82531168103e4a
SpellData,Target_MotivationalSpeech_6,differing declarations,SPELLS.txt,5551,b1df56f98ef275dc70c60b35a7dfccec241b3776ef59440dde1029795f4d40fc
SpellData,Target_MotivationalSpeech_AI,differing declarations,NPC_SPELLS.txt,170,71c8dde87189339f98ff668d4a3616b9fd079a623861cf1d5d43e13059898597
SpellData,Target_MotivationalSpeech_AI,differing declarations,NPC_SPELLS.txt,179,11ecf6e3848209697351dc0cc15b5706270d8ac423baf299fafc579f9e1ac427
SpellData,Target_MotivationalSpeech_AI_4,differing declarations,NPC_SPELLS.txt,199,96ac1fcd6faaec835f73a3937799399ebf48fb3afb3b5e2ff7f88a6a175f99b1
SpellData,Target_MotivationalSpeech_AI_4,differing declarations,NPC_SPELLS.txt,209,5ec04fb8c97489f650ae000b5038b2280173320b1edbefbb0768ab7a62bc3d77
SpellData,Target_MotivationalSpeech_AI_5,differing declarations,NPC_SPELLS.txt,229,26e03eb61f5b3e1d76afac8c33b614bc0d88abaaacdd70272b17fafa559b5015
SpellData,Target_MotivationalSpeech_AI_5,differing declarations,NPC_SPELLS.txt,239,bc02195ff60aac2de19339dd2852f49b19da007e35694ed240280fc5b38a13da
